GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sample-java-app,org.sample,App,22,0,2,0,7,0,3,0,2,0
sample-java-app,org.sample,UseCase_02,17,0,0,0,6,0,2,0,2,0
sample-java-app,org.sample,Calculator,4,7,0,0,1,2,1,2,1,2
sample-java-app,org.sample,UseCase_01,10,0,0,0,4,0,2,0,2,0
